## memory, data ready
## threads ready
# starting GA
58789: pop m=80.894714 v=67.445918 f=48.003543; best m=82.857143 v=0.122449 f=81.142857
58998: pop m=80.874000 v=73.805061 f=47.026346; best m=82.857143 v=0.122449 f=81.142857
59219: pop m=80.822429 v=67.109265 f=48.066357; best m=82.857143 v=0.122449 f=81.142857
59442: pop m=80.857143 v=66.550571 f=48.163547; best m=82.857143 v=0.122449 f=81.142857
59664: pop m=80.969286 v=65.015020 f=48.218920; best m=82.857143 v=0.122449 f=81.142857
59904: pop m=81.072143 v=65.352000 f=48.606010; best m=82.857143 v=0.122449 f=81.142857
60125: pop m=80.896571 v=66.123592 f=47.947215; best m=82.857143 v=0.122449 f=81.142857
60341: pop m=80.904000 v=69.407633 f=47.516145; best m=82.857143 v=0.122449 f=81.142857
60556: pop m=80.937000 v=66.685796 f=47.950353; best m=82.857143 v=0.122449 f=81.142857
60781: pop m=81.119857 v=67.205347 f=48.181574; best m=82.857143 v=0.122449 f=81.142857
61001: pop m=81.013286 v=63.954776 f=48.952374; best m=82.857143 v=0.122449 f=81.142857
61218: pop m=81.097286 v=67.463796 f=48.098968; best m=82.857143 v=0.122449 f=81.142857
61454: pop m=81.071571 v=66.825918 f=48.585419; best m=82.857143 v=0.122449 f=81.142857
61673: pop m=80.980000 v=65.533306 f=48.738854; best m=82.857143 v=0.122449 f=81.142857
61886: pop m=80.928143 v=66.012735 f=48.226620; best m=82.857143 v=0.122449 f=81.142857
62117: pop m=80.888857 v=65.664939 f=48.455621; best m=82.857143 v=0.122449 f=81.142857
62329: pop m=80.711571 v=67.292939 f=47.775841; best m=82.857143 v=0.122449 f=81.142857
62552: pop m=80.828143 v=67.256327 f=47.952251; best m=82.857143 v=0.122449 f=81.142857
62767: pop m=80.979714 v=69.562041 f=47.614961; best m=82.857143 v=0.122449 f=81.142857
62986: pop m=80.916857 v=65.468571 f=48.663717; best m=82.857143 v=0.122449 f=81.142857
63202: pop m=80.686286 v=67.139184 f=47.745682; best m=82.857143 v=0.122449 f=81.142857
63415: pop m=80.770857 v=66.790939 f=47.935928; best m=82.857143 v=0.122449 f=81.142857
63639: pop m=81.167429 v=67.427633 f=48.446080; best m=82.857143 v=0.122449 f=81.142857
63863: pop m=80.924714 v=69.949347 f=47.618991; best m=82.857143 v=0.122449 f=81.142857
64084: pop m=80.790286 v=67.305837 f=47.590040; best m=82.857143 v=0.122449 f=81.142857
64299: pop m=80.954571 v=66.571755 f=48.345409; best m=82.857143 v=0.122449 f=81.142857
