## memory, data ready
## threads ready
# starting GA
0: pop m=165.464263 v=2300.896366 f=-183.230153; best m=165.736842 v=531.772853 f=-3.720333
63054: pop m=175.179789 v=175.860028 f=103.988292; best m=175.578947 v=0.243767 f=171.950803
63377: pop m=174.964000 v=187.470399 f=101.188638; best m=175.578947 v=0.243767 f=171.950803
63700: pop m=175.015263 v=188.340133 f=100.662770; best m=175.578947 v=0.243767 f=171.950803
64022: pop m=175.017579 v=187.575452 f=101.342542; best m=175.578947 v=0.243767 f=171.950803
64346: pop m=174.956368 v=188.298371 f=99.856845; best m=175.578947 v=0.243767 f=171.950803
64668: pop m=175.014684 v=177.084903 f=102.698274; best m=175.578947 v=0.243767 f=171.950803
64991: pop m=175.180842 v=173.428249 f=105.138580; best m=175.578947 v=0.243767 f=171.950803
65314: pop m=175.039632 v=187.155861 f=101.026025; best m=175.578947 v=0.243767 f=171.950803
65638: pop m=175.151684 v=176.563169 f=103.629531; best m=175.578947 v=0.243767 f=171.950803
65962: pop m=175.081421 v=176.619640 f=103.512945; best m=175.578947 v=0.243767 f=171.950803
66285: pop m=175.076526 v=182.530055 f=101.718507; best m=175.578947 v=0.243767 f=171.950803
66608: pop m=174.974421 v=180.921363 f=103.287801; best m=175.578947 v=0.243767 f=171.950803
66927: pop m=175.018211 v=181.259524 f=102.850980; best m=175.578947 v=0.243767 f=171.950803
67248: pop m=175.024842 v=183.823618 f=102.636205; best m=175.578947 v=0.243767 f=171.950803
67572: pop m=175.049632 v=195.297180 f=98.483335; best m=175.578947 v=0.243767 f=171.950803
67895: pop m=175.136684 v=179.658615 f=103.662248; best m=175.578947 v=0.243767 f=171.950803
68219: pop m=175.196158 v=182.195241 f=102.363927; best m=175.578947 v=0.243767 f=171.950803
68540: pop m=175.172316 v=177.902488 f=103.914027; best m=175.578947 v=0.243767 f=171.950803
68863: pop m=175.179842 v=190.755014 f=99.883829; best m=175.578947 v=0.243767 f=171.950803
69186: pop m=175.055737 v=189.150742 f=99.744896; best m=175.578947 v=0.243767 f=171.950803
69569: pop m=175.138579 v=183.493618 f=102.027808; best m=175.578947 v=0.243767 f=171.950803
69894: pop m=175.059263 v=174.839346 f=103.652393; best m=175.578947 v=0.243767 f=171.950803
70218: pop m=175.151211 v=177.930643 f=105.182775; best m=175.578947 v=0.243767 f=171.950803
